budget,revenue,runtime,popularity,vote_average,Language_count,lang_de,lang_en,lang_es,lang_fr,lang_hi,lang_other,lang_pt,lang_ru,lang_tr,season_Fall,season_Summer,season_Winter,Action,Adventure,Animation,Crime,Documentary,Drama,Family,Fantasy,Horror,Romance,Science Fiction
18.184958423089522,20.64669511270673,179,78.73,8.385,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
18.757152987716434,19.730552311554884,124,43.665,6.995,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
18.980296537602072,20.431370762250594,123,35.356,5.909,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
18.683045016112164,20.487296074083048,141,124.386,8.02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18.826145858727198,19.923260617778432,115,51.277,6.768,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
19.11382792951231,20.25155408088234,124,84.445,6.835,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
18.826145858727198,19.740350874353872,140,66.286,7.701,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
19.00846741441004,20.56696495525777,131,45.2,7.595,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
18.980296537602072,20.56966137874629,95,107.292,7.922,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
18.826145858727198,21.237009665607605,124,54.089,6.682,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
17.312018149733785,19.606423974684137,127,53.521,8.368,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18.826145858727198,20.61336283870746,157,134.276,7.816,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
18.757152987716434,20.30016293085726,143,80.509,7.794,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
18.643824303266577,21.017062591566873,130,110.974,8.105,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
16.213405921671733,20.468887014201155,121,88.559,8.204,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
18.819456870621142,20.528289691933153,141,54.628,7.236,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
18.980296537602072,20.41551585489421,96,90.968,7.949,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
18.683045016112164,20.06801535110636,117,37.692,7.082,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
15.607270193858982,19.31703980116409,175,158.448,8.707,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18.497641794347754,20.262182306661025,141,76.0,7.678,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
16.759949589762293,19.758597983464,116,62.543,8.314,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
19.316768772590635,21.44995592362641,136,66.772,7.293,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
19.11382792951231,21.376552598024606,148,186.065,7.99,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
18.826145858727198,20.65948728189478,138,117.168,7.686,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
19.33697147982652,20.65494331001405,153,121.735,7.697,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
18.390221546776935,20.243650461713184,137,54.194,7.8,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
